date_local,game_id,away_team,home_team,closing_spread_team,closing_spread,closing_total,model_spread_team,model_spread,model_total,pick_ATS,pick_OU,EV_ATS,EV_OU,final_away,final_home,final_margin,final_total,ATS_result,OU_result,CLV_spread,CLV_total,error_tags,notes,focus_team_flag,EV_ATS_bucket,EV_OU_bucket,model_version,ATS_result_calc,OU_result_calc,model_total_v42,CLV_total_v42,pick_OU_v42,OU_result_v42,status,closing_spread_team_new,closing_spread_new,closing_total_new,EV_OU_v42,EV_OU_bucket_v42,model_margin_v42S,ATS_pick_team_v42S,ATS_EV_v42S,ATS_pick_result_v42S,model_total_v43,OU_prob_over_v43,pick_OU_v43,EV_OU_v43,EV_OU_bucket_v43,CLV_total_v43,OU_result_v43,summary_type,sum_OU_W,sum_OU_L,sum_OU_P,sum_OU_Trials,sum_OU_Hit_%,sum_ATS_W,sum_ATS_L,sum_ATS_P,sum_ATS_Trials,sum_ATS_Hit_%,source_ATS_metric,snapshot_type,snapshot_time,line_timestamp,line_sources,fav_team,spread_current,total_current,injuries_home,injuries_away,starters_home,starters_away,line_moves,T_model_pick,T_model_prob_over,S_model_pick,S_model_cover_prob,snapshot_id,tip_time_et,tip_time_tpe,model_params,game_date_et,game_date_tpe,run_timestamp
2025-11-02,2025-11-02-NOP-OKC,NOP,OKC,OKC,-13.5,228.5,OKC,-13.03,228.13,OKC -13.5,Over,2.84,-1.45,106.0,137.0,31.0,243.0,W,W,0.47,-0.37,,,OKC,+2%≤EV<+6%,EV<+2%,v4.1_full_adaptive_auto,W,W,221.78,-6.72,Under,L,,,,,26.21,EV≥+6%,13.77,OKC,1.73,W,226.15,0.4552,Under,8.95,EV≥+6%,-2.35,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-01,2025-11-02,2025-11-09 11:25:25.218522
2025-11-02,2025-11-02-SAS-PHO,SAS,PHO,SAS,-5.5,227.5,SAS,-5.96,227.31,,,-2.77,-0.75,118.0,130.0,12.0,248.0,L,L,-0.46,-0.19,,,,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,L,L,224.81,-2.69,Under,L,,,,,10.66,EV≥+6%,-5.61,PHO,0.66,W,226.56,0.4829,Under,3.42,+2%≤EV<+6%,-0.94,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-01,2025-11-02,2025-11-09 11:25:25.218522
2025-11-02,2025-11-02-MEM-TOR,MEM,TOR,TOR,-5.5,239.5,TOR,-5.39,239.43,,,0.68,-0.29,104.0,117.0,13.0,221.0,W,L,0.11,-0.07,,,,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,W,L,235.5,-4.0,Under,W,,,,,15.79,EV≥+6%,5.61,TOR,0.67,W,238.1,0.4746,Under,5.09,+2%≤EV<+6%,-1.4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-01,2025-11-02,2025-11-09 11:25:25.218522
2025-11-03,2025-11-03-UTA-BOS,UTA,BOS,BOS,-10.5,233.5,BOS,-10.28,233.79,,,1.36,1.14,105.0,103.0,-2.0,208.0,L,L,0.22,0.29,,,,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,L,L,229.39,-4.11,Under,W,,,,,16.22,EV≥+6%,10.71,BOS,1.52,L,232.06,0.4717,Under,5.67,+2%≤EV<+6%,-1.44,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-02,2025-11-03,2025-11-09 11:25:25.218522
2025-11-03,2025-11-03-SAC-DEN,SAC,DEN,DEN,-11.5,236.5,DEN,-11.34,236.12,,,1.0,-1.5,124.0,130.0,6.0,254.0,L,L,0.16,-0.38,,,,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,L,L,227.82,-8.68,Under,L,,,,,33.45,EV≥+6%,11.73,DEN,1.5,L,233.46,0.4428,Under,11.44,EV≥+6%,-3.04,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-02,2025-11-03,2025-11-09 11:25:25.218522
2025-11-03,2025-11-03-DAL-HOU,DAL,HOU,HOU,-12.5,226.5,HOU,-12.86,226.35,DAL +12.5,Under,-2.16,0.61,102.0,110.0,8.0,212.0,W,W,-0.36,-0.15,,,HOU,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,L,W,216.85,-9.65,Under,W,,,,,36.92,EV≥+6%,12.75,HOU,1.23,L,223.12,0.438,Under,12.4,EV≥+6%,-3.38,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-02,2025-11-03,2025-11-09 11:25:25.218522
2025-11-03,2025-11-03-MIL-IND,MIL,IND,MIL,-6.5,235.5,MIL,-6.7,235.43,,,-1.21,-0.27,117.0,115.0,-2.0,232.0,L,L,-0.2,-0.07,,,,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,L,L,229.96,-5.54,Under,W,,,,,21.74,EV≥+6%,-6.63,IND,0.76,W,233.56,0.4633,Under,7.35,EV≥+6%,-1.94,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-02,2025-11-03,2025-11-09 11:25:25.218522
2025-11-03,2025-11-03-MIA-LAC,MIA,LAC,LAC,-7.5,227.5,LAC,-7.28,226.96,,,1.31,-2.16,120.0,119.0,-1.0,239.0,L,L,0.22,-0.54,,,,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,L,L,225.92,-1.58,Under,L,,,,,6.27,EV≥+6%,7.65,LAC,0.81,L,226.95,0.4892,Under,2.16,+2%≤EV<+6%,-0.55,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-02,2025-11-03,2025-11-09 11:25:25.218522
2025-11-03,2025-11-03-DET-MEM,DET,MEM,DET,-4.5,235.5,DET,-4.92,235.87,,,-2.55,1.49,114.0,106.0,-8.0,220.0,W,L,-0.42,0.37,,,,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,W,L,227.58,-7.92,Under,W,,,,,30.67,EV≥+6%,-4.59,MEM,0.71,L,232.73,0.4469,Under,10.63,EV≥+6%,-2.77,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-02,2025-11-03,2025-11-09 11:25:25.218522
2025-11-03,2025-11-03-WAS-NYK,WAS,NYK,NYK,-12.5,234.5,NYK,-11.96,234.03,,,3.28,-1.88,102.0,119.0,17.0,221.0,W,L,0.54,-0.47,,,,+2%≤EV<+6%,EV<+2%,v4.1_full_adaptive_auto,W,L,226.0,-8.5,Under,W,,,,,32.79,EV≥+6%,12.75,NYK,1.55,W,231.53,0.4423,Under,11.54,EV≥+6%,-2.97,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-02,2025-11-03,2025-11-09 11:25:25.218522
2025-11-03,2025-11-03-LAL-POR,LAL,POR,POR,-9.5,228.5,POR,-9.82,227.85,LAL +10.5,Over,-1.97,-2.57,123.0,115.0,-8.0,238.0,W,W,-0.32,-0.65,,,LAL,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,L,W,225.5,-3.0,Under,L,,,,,11.88,EV≥+6%,9.69,POR,1.21,L,227.45,0.4808,Under,3.85,+2%≤EV<+6%,-1.05,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-02,2025-11-03,2025-11-09 11:25:25.218522
2025-11-04,2025-11-04-ORL-ATL,ORL,ATL,,,,ATL,0.26,230.16,,,1.6,0.62,112.0,127.0,15.0,239.0,,,0.26,0.16,,,,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-03,2025-11-04,2025-11-09 11:25:25.218522
2025-11-04,2025-11-04-PHI-CHI,PHI,CHI,,,,CHI,0.12,229.45,,,0.75,-2.17,111.0,113.0,2.0,224.0,,,0.12,-0.55,,,,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-03,2025-11-04,2025-11-09 11:25:25.218522
2025-11-04,2025-11-04-PHO-GSW,PHO,GSW,,,,GSW,0.34,230.71,,,2.04,2.83,107.0,118.0,11.0,225.0,,,0.34,0.71,,,GSW,+2%≤EV<+6%,+2%≤EV<+6%,v4.1_full_adaptive_auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-03,2025-11-04,2025-11-09 11:25:25.218522
2025-11-04,2025-11-04-PHX-GSW,PHX,GSW,GSW,-10.5,234.5,GSW,-10.24,235.2,PHX +10.5,Under,1.58,-2.8,107.0,118.0,11.0,225.0,L,W,0.26,0.7,"ats_loss,bench_volatility",Warriors bench surge flipped cover by 0.5.,GSW,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,W,W,227.73,-6.77,Under,W,,,,,26.4,EV≥+6%,10.71,GSW,0.8,W,232.13,0.4529,Under,9.42,EV≥+6%,-2.37,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-03,2025-11-04,2025-11-09 11:25:25.218522
2025-11-04,2025-11-04-OKC-LAC,OKC,LAC,OKC,-8.5,219.5,OKC,-8.6,219.01,OKC -8.5,Over,-0.63,-1.96,126.0,107.0,-19.0,233.0,W,W,-0.1,-0.49,,,OKC,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,W,W,214.86,-4.64,Under,L,,,,,18.27,EV≥+6%,-8.67,LAC,1.11,L,217.88,0.4674,Under,6.51,EV≥+6%,-1.62,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-03,2025-11-04,2025-11-09 11:25:25.218522
2025-11-04,2025-11-04-CHO-NOP,CHO,NOP,,,,NOP,-0.34,230.25,,,-2.06,0.98,112.0,116.0,4.0,228.0,,,-0.34,0.25,,,,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-03,2025-11-04,2025-11-09 11:25:25.218522
2025-11-04,2025-11-04-MIL-TOR,MIL,TOR,,,,TOR,0.1,230.36,,,0.63,1.43,100.0,128.0,28.0,228.0,,,0.1,0.36,,,,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-03,2025-11-04,2025-11-09 11:25:25.218522
2025-11-05,2025-11-05-SAS-LAL,SAS,LAL,SAS,-3.5,228.5,SAS,-4.04,228.08,LAL -1.5,Over,-3.25,-1.68,116.0,118.0,2.0,234.0,W,W,-0.54,-0.42,,,LAL,EV<+2%,EV<+2%,v4.1_full_adaptive_auto,L,W,221.99,-6.51,Under,L,,,,,25.42,EV≥+6%,-3.57,LAL,0.7,W,226.22,0.455,Under,8.99,EV≥+6%,-2.28,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-04,2025-11-05,2025-11-09 11:25:25.218522
