date_local,away_team,home_team,closing_spread_team,closing_spread,closing_total,model_total_v43,OU_prob_over_v43,pick_OU_v43,EV_OU_v43,EV_OU_bucket_v43,OU_result_v43,CLV_total_v43,model_total_v42,pick_OU_v42,OU_result_v42,EV_OU_v42,EV_OU_bucket_v42,model_margin_v42S,ATS_pick_team_v42S,ATS_EV_v42S,ATS_pick_result_v42S,ATS_result,final_away,final_home,status,snapshot_type,snapshot_time,line_timestamp,line_sources,fav_team,spread_current,total_current,injuries_home,injuries_away,starters_home,starters_away,line_moves,T_model_pick,T_model_prob_over,S_model_pick,S_model_cover_prob,snapshot_id,tip_time_et,tip_time_tpe,model_params,game_date_et,game_date_tpe,run_timestamp
2025-11-04,OKC,LAC,OKC,-8.5,219.5,217.88,0.4674,Under,6.51,EV≥+6%,L,-1.62,214.86,Under,L,18.27,EV≥+6%,-8.67,LAC,1.11,L,W,126.0,107.0,,,,,,,,,,,,,,,,,,,,,,2025-11-03,2025-11-04,2025-11-08 16:35:13.813229
2025-11-04,CHO,NOP,,,,,,,,,,,,,,,,,,,,,112.0,116.0,,,,,,,,,,,,,,,,,,,,,,2025-11-03,2025-11-04,2025-11-08 16:35:13.813229
2025-11-04,MIL,TOR,,,,,,,,,,,,,,,,,,,,,100.0,128.0,,,,,,,,,,,,,,,,,,,,,,2025-11-03,2025-11-04,2025-11-08 16:35:13.813229
2025-11-05,SAS,LAL,SAS,-3.5,228.5,226.22,0.455,Under,8.99,EV≥+6%,L,-2.28,221.99,Under,L,25.42,EV≥+6%,-3.57,LAL,0.7,W,W,116.0,118.0,,,,,,,,,,,,,,,,,,,,,,2025-11-04,2025-11-05,2025-11-08 16:35:13.813229
2025-11-05,HOU,MEM,HOU,-7.5,232.5,231.74,0.4835,Under,3.31,+2%≤EV<+6%,L,-0.76,230.34,Under,L,8.57,EV≥+6%,-7.65,MEM,0.74,L,W,124.0,109.0,,,,,,,,,,,,,,,,,,,,,,2025-11-04,2025-11-05,2025-11-08 16:35:13.813229
2025-11-05,GSW,SAC,SAC,-3.0,224.5,224.2,0.4952,Under,0.96,EV<+2%,L,-0.3,223.65,Under,L,3.38,+2%≤EV<+6%,3.06,SAC,0.4,W,W,116.0,121.0,,,,,,,,,,,,,,,,,,,,,,2025-11-04,2025-11-05,2025-11-08 16:35:13.813229
2025-11-06,LAC,PHO,PHO,-2.5,224.5,223.41,0.4799,Under,4.03,+2%≤EV<+6%,W,-1.09,221.39,Under,W,12.32,EV≥+6%,2.55,PHO,0.14,W,,102.0,115.0,已補盤口+比分,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-06,2025-11-08 16:35:13.813229
2025-11-08,BOS,ORL,ORL,-3.5,226.5,,,,,,,,,,,,,,,,,,110.0,123.0,EOD backfill 1107ET,,,,,,,,,,,,,,,,,,,,,2025-11-07,2025-11-08,2025-11-08 16:35:13.813229
2025-11-08,CLE,WSH,CLE,-13.5,240.5,,,,,,O,,,,,,,,,,,,148.0,114.0,EOD backfill 1107ET,,,,,,,,,,,,,,,,,,,,,2025-11-07,2025-11-08,2025-11-08 16:35:13.813229
2025-11-08,TOR,ATL,ATL,-2.5,235.5,,,,,,U,,,,,,,,,,,,109.0,97.0,EOD backfill 1107ET,,,,,,,,,,,,,,,,,,,,,2025-11-07,2025-11-08,2025-11-08 16:35:13.813229
2025-11-08,DET,BKN,DET,-10.5,227.5,,,,,,O,,,,,,,,,,,,125.0,107.0,EOD backfill 1107ET,,,,,,,,,,,,,,,,,,,,,2025-11-07,2025-11-08,2025-11-08 16:35:13.813229
2025-11-08,HOU,SAS,HOU,-4.5,226.5,,,,,,,,,,,,,,,,,,110.0,121.0,EOD backfill 1107ET,,,,,,,,,,,,,,,,,,,,,2025-11-07,2025-11-08,2025-11-08 16:35:13.813229
2025-11-08,CHI,MIL,MIL,-4.5,239.5,,,,,,,,,,,,,,,,,,110.0,126.0,EOD backfill 1107ET,,,,,,,,,,,,,,,,,,,,,2025-11-07,2025-11-08,2025-11-08 16:35:13.813229
2025-11-08,DAL,MEM,MEM,-4.5,232.5,,,,,,U,,,,,,,,,,,,104.0,118.0,EOD backfill 1107ET,,,,,,,,,,,,,,,,,,,,,2025-11-07,2025-11-08,2025-11-08 16:35:13.813229
2025-11-08,CHA,MIA,MIA,-7.5,235.5,,,,,,U,,,,,,,,,,,,108.0,126.0,EOD backfill 1107ET,,,,,,,,,,,,,,,,,,,,,2025-11-07,2025-11-08,2025-11-08 16:35:13.813229
2025-11-08,GSW,DEN,DEN,-9.5,228.5,,,,,,U,,,,,,,,,,,,105.0,114.0,EOD backfill 1107ET,,,,,,,,,,,,,,,,,,,,,2025-11-07,2025-11-08,2025-11-08 16:35:13.813229
